region_id,boundary_name,boundary_parent,adm1_gid,source_region_name,parent_name,score,method,needs_review,decision
IND2-80f6c5a627,Lakshadweep,Lakshadweep,IND.18_1,,,0,unmatched,True,reject: DOSE has no label region for this UT
IND2-e629dd9dbd,Dadra and Nagar Haveli,Dadra and Nagar Haveli,IND.8_1,,,0,unmatched,True,reject: DOSE has no label region for this UT
IND2-7e9e0a7bf6,Diu,Daman and Diu,IND.9_1,,,0,unmatched,True,reject: DOSE has no label region for this UT
IND2-b6c6867e73,Daman,Daman and Diu,IND.9_1,,,0,unmatched,True,reject: DOSE has no label region for this UT
IND2-1164d5c014,Udhampur,Jammu and Kashmir,Z01.14_1,Jammu & Kashmir,India,100.0,gid_disputed,True,"accept: GADM disputed-territory code, same admin unit as DOSE"
IND2-145924fcac,Ramban,Jammu and Kashmir,Z01.14_1,Jammu & Kashmir,India,100.0,gid_disputed,True,"accept: GADM disputed-territory code, same admin unit as DOSE"
IND2-21018cec7b,Anantnag,Jammu and Kashmir,Z01.14_1,Jammu & Kashmir,India,100.0,gid_disputed,True,"accept: GADM disputed-territory code, same admin unit as DOSE"
IND2-256f8c410d,Lohit,Arunachal Pradesh,Z07.3_1,Arunachal Pradesh,India,100.0,gid_disputed,True,"accept: GADM disputed-territory code, same admin unit as DOSE"
IND2-2da9e13bf4,Dibang Valley,Arunachal Pradesh,Z07.3_1,Arunachal Pradesh,India,100.0,gid_disputed,True,"accept: GADM disputed-territory code, same admin unit as DOSE"
IND2-2e8b1e7d5a,Baramulla,Jammu and Kashmir,Z01.14_1,Jammu & Kashmir,India,100.0,gid_disputed,True,"accept: GADM disputed-territory code, same admin unit as DOSE"
IND2-2efb4155d8,Kathua,Jammu and Kashmir,Z01.14_1,Jammu & Kashmir,India,100.0,gid_disputed,True,"accept: GADM disputed-territory code, same admin unit as DOSE"
IND2-32e6d20b28,Jammu,Jammu and Kashmir,Z01.14_1,Jammu & Kashmir,India,100.0,gid_disputed,True,"accept: GADM disputed-territory code, same admin unit as DOSE"
IND2-39089da646,Upper Siang,Arunachal Pradesh,Z07.3_1,Arunachal Pradesh,India,100.0,gid_disputed,True,"accept: GADM disputed-territory code, same admin unit as DOSE"
IND2-39f0b1280d,Kurung Kumey,Arunachal Pradesh,Z07.3_1,Arunachal Pradesh,India,100.0,gid_disputed,True,"accept: GADM disputed-territory code, same admin unit as DOSE"
IND2-45dd7f12bc,Kupwara,Jammu and Kashmir,Z01.14_1,Jammu & Kashmir,India,100.0,gid_disputed,True,"accept: GADM disputed-territory code, same admin unit as DOSE"
IND2-4a3cc818b4,Pulwama,Jammu and Kashmir,Z01.14_1,Jammu & Kashmir,India,100.0,gid_disputed,True,"accept: GADM disputed-territory code, same admin unit as DOSE"
IND2-4f77b065a5,East Siang,Arunachal Pradesh,Z07.3_1,Arunachal Pradesh,India,100.0,gid_disputed,True,"accept: GADM disputed-territory code, same admin unit as DOSE"
IND2-51de4c0727,Kinnaur,Himachal Pradesh,Z09.13_1,Himachal Pradesh,India,100.0,gid_disputed,True,"accept: GADM disputed-territory code, same admin unit as DOSE"
IND2-57651853ef,Anjaw,Arunachal Pradesh,Z07.3_1,Arunachal Pradesh,India,100.0,gid_disputed,True,"accept: GADM disputed-territory code, same admin unit as DOSE"
IND2-591056dfff,Ganderbal,Jammu and Kashmir,Z01.14_1,Jammu & Kashmir,India,100.0,gid_disputed,True,"accept: GADM disputed-territory code, same admin unit as DOSE"
IND2-5c29316151,Pithoragarh,Uttarakhand,Z05.35_1,Uttarakhand,India,100.0,gid_disputed,True,"accept: GADM disputed-territory code, same admin unit as DOSE"
IND2-6c846bcf59,Bandipore,Jammu and Kashmir,Z01.14_1,Jammu & Kashmir,India,100.0,gid_disputed,True,"accept: GADM disputed-territory code, same admin unit as DOSE"
IND2-7764a0465e,West Kameng,Arunachal Pradesh,Z07.3_1,Arunachal Pradesh,India,100.0,gid_disputed,True,"accept: GADM disputed-territory code, same admin unit as DOSE"
IND2-77f4634577,Srinagar,Jammu and Kashmir,Z01.14_1,Jammu & Kashmir,India,100.0,gid_disputed,True,"accept: GADM disputed-territory code, same admin unit as DOSE"
IND2-7f64ee0d49,Chamoli,Uttarakhand,Z05.35_1,Uttarakhand,India,100.0,gid_disputed,True,"accept: GADM disputed-territory code, same admin unit as DOSE"
IND2-808aba24e8,Shupiyan,Jammu and Kashmir,Z01.14_1,Jammu & Kashmir,India,100.0,gid_disputed,True,"accept: GADM disputed-territory code, same admin unit as DOSE"
IND2-8d2985bb5f,Upper Subansiri,Arunachal Pradesh,Z07.3_1,Arunachal Pradesh,India,100.0,gid_disputed,True,"accept: GADM disputed-territory code, same admin unit as DOSE"
IND2-8ea5684a2f,Badgam,Jammu and Kashmir,Z01.14_1,Jammu & Kashmir,India,100.0,gid_disputed,True,"accept: GADM disputed-territory code, same admin unit as DOSE"
IND2-93952cdd1e,Samba,Jammu and Kashmir,Z01.14_1,Jammu & Kashmir,India,100.0,gid_disputed,True,"accept: GADM disputed-territory code, same admin unit as DOSE"
IND2-a94e3b37cb,Kulgam,Jammu and Kashmir,Z01.14_1,Jammu & Kashmir,India,100.0,gid_disputed,True,"accept: GADM disputed-territory code, same admin unit as DOSE"
IND2-b39754259c,Lahul & Spiti,Himachal Pradesh,Z04.13_1,Himachal Pradesh,India,100.0,gid_disputed,True,"accept: GADM disputed-territory code, same admin unit as DOSE"
IND2-b3d7edfe88,West Siang,Arunachal Pradesh,Z07.3_1,Arunachal Pradesh,India,100.0,gid_disputed,True,"accept: GADM disputed-territory code, same admin unit as DOSE"
IND2-b70a408a57,Tawang,Arunachal Pradesh,Z07.3_1,Arunachal Pradesh,India,100.0,gid_disputed,True,"accept: GADM disputed-territory code, same admin unit as DOSE"
IND2-ba88f294a1,East Kameng,Arunachal Pradesh,Z07.3_1,Arunachal Pradesh,India,100.0,gid_disputed,True,"accept: GADM disputed-territory code, same admin unit as DOSE"
IND2-c021608844,Rajouri,Jammu and Kashmir,Z01.14_1,Jammu & Kashmir,India,100.0,gid_disputed,True,"accept: GADM disputed-territory code, same admin unit as DOSE"
IND2-c69f091747,Lower Dibang Valley,Arunachal Pradesh,Z07.3_1,Arunachal Pradesh,India,100.0,gid_disputed,True,"accept: GADM disputed-territory code, same admin unit as DOSE"
IND2-cb1fe2deaf,Kargil,Jammu and Kashmir,Z01.14_1,Jammu & Kashmir,India,100.0,gid_disputed,True,"accept: GADM disputed-territory code, same admin unit as DOSE"
IND2-cd28b1d217,Lower Subansiri,Arunachal Pradesh,Z07.3_1,Arunachal Pradesh,India,100.0,gid_disputed,True,"accept: GADM disputed-territory code, same admin unit as DOSE"
